date,permco,return,volume,marketcap
20240531,2,-0.09830462656911637,671556.5551097378,18709644842.82338
20240531,3,0.004492131780518077,1848462.4583668134,68550447177.97653
20240531,4,-0.19858502448881868,1443900.0502222516,95474524902.99063
20240531,5,-0.07007608543309082,928012.4895283508,22673181483.464134
20240630,1,-0.11733382471789074,326338.3347045409,34080632811.09593
20240630,2,-0.06437949063144557,705568.8047909453,57914999084.92091
20240630,3,-0.08569997099434708,112067.76509789191,59614947896.92327
20240630,4,-0.09428766586365432,1348580.3434839176,14823017312.787086
20240630,5,0.08007114431289153,928069.7791077814,16006546687.261278
20240731,1,-0.12318489611965373,853432.8045443947,60028095160.25454
20240731,2,-0.046482890542153404,1954685.0731404396,90048696536.32936
20240731,3,-0.0004971608911520098,731213.8918363717,50943103645.25715
20240731,4,0.03777638708059444,1647100.2463948205,32148582106.28711
20240731,5,0.09356504513772251,1840121.1538462576,37398093134.07765
20240831,1,-0.16531816231228122,135346.86038001708,31712287782.79389
20240831,2,0.19276573481664622,1289481.0005591211,33173963924.249725
20240831,3,0.022965637525370258,1654042.2714148262,68142200308.264755
20240831,4,-0.04896413001181138,992850.660993733,11349651346.112165
20240831,5,-0.18464468227543365,549034.8486297375,36040509026.22261
20240930,1,0.13395680267675997,1041090.7489413618,80676665009.84245
20240930,2,0.12118465678960694,1950428.5611454581,1030317918.0298598
20240930,3,0.1373677813506446,696509.198139108,30808803098.937862
20240930,4,0.10598936306073176,1933448.3443126197,8645442389.591637
20240930,5,0.04264552351240264,372221.5427090164,86960417790.60019
20241031,1,0.07177596387799051,291357.62580185384,36925136476.795555
20241031,2,-0.157745561938374,101781.15894098303,89057227946.33272
20241031,3,0.16454474316987694,1522680.1202299895,33417233364.50841
20241031,4,-0.12698210298775836,1445266.7183507406,74787355310.22835
20241031,5,0.13588710788055525,1315671.1729508548,45801816772.14229
20241130,1,0.17543101096287306,687006.170427267,83473951331.40323
20241130,2,-0.07565060775639232,1197320.536472768,10365051200.52213
20241130,3,-0.05218094016193234,923262.7492800903,41488020467.40812
20241130,4,-0.08123566533946192,272054.2031325847,47801920675.45081
20241130,5,0.009486165619638054,748349.0610877901,92705006011.88835
20241231,1,0.16362718611021726,1034050.8773282324,52442070396.710335
20241231,2,0.05780019071513898,636681.9719919397,22485429573.460308
20241231,3,0.11093247344348439,1446410.1962205197,24666105380.13252
20241231,4,-0.08922444919970701,658316.3557658446,25218335695.268044
20241231,5,-0.007235810308627716,1563258.1043683295,24974848822.63076
20250131,1,0.053948116904875054,430720.6120053095,68235498465.55683
20250131,2,-0.09411129139230981,1008005.8820557833,73093203531.88057
20250131,3,0.05862770996448813,638495.7121897835,3010311768.862222
20250131,4,0.01982526452765518,232054.95664443585,88237092790.62971
20250131,5,-0.13994201159316458,1177087.0883298528,28442715520.267944
20250228,1,0.13930879465646295,1832448.9635221872,86826644945.84398
20250228,2,0.18762162467630172,1099030.060280365,67922412126.874435
20250228,3,-0.19615648218512505,503898.2951511083,80599625673.10732
20250228,4,0.1685660602065554,1721403.213386462,35673843495.8782
20250228,5,0.1548479120234585,430221.61165760754,94390688021.4693
20250331,1,-0.16554397073617255,818308.8517493432,32461832309.26322
20250331,2,-0.17120769394709534,1582917.2207656347,36055319497.407455
20250331,3,-0.1663345967211849,1544284.479801509,71956108314.00377
20250331,4,-0.038330629862264015,1263758.2365643391,20597247673.435116
20250331,5,0.006205437043429102,870764.2319126065,47112917312.52312
20250430,1,-0.10871318415430503,1284834.5464690547,1665725485.9425974
20250430,2,-0.19086665337769926,820765.4507004522,28480777573.958023
20250430,3,-0.13625126145453006,1714748.2234141936,86282311001.70613
20250430,4,-0.17068208768592152,1454394.413297279,79577508821.7919
20250430,5,0.03318420448983242,362158.13956023083,46954611778.43483
20250531,1,-0.14976672384275547,1164087.78260801,84250333164.25803
20250531,2,0.0842233352901014,1013292.8729900733,17893330183.23941
20250531,3,-0.1594319363547343,1170692.483183282,11575761714.738121
20250531,4,-0.13868743963646968,935073.0969213151,35074266498.795334
20250531,5,0.01400614104309622,543220.284812558,12820277174.318188
20250630,1,-0.02148777570040933,931669.8695652148,14094364732.033379
20250630,2,0.11947929256520101,794510.738116203,80334300342.47855
20250630,3,0.1568595406966578,642105.9874190904,74985318440.6999
20250630,4,-0.07199971380535417,586033.4829922621,36048310086.49426
20250630,5,-0.11904170279197715,247031.24113371695,63995023226.03569
